,summary,Mitigation,Impacts,Hazard,word
locken,5.653685108015091,0.01845484386136681,0.01994077503673345,-0.0209203846100563,locken
afrika+s lock+en,3.978290772831717,0.03479930260502985,0.08506077947845445,-0.058522643279465277,afrika+s lock+en
Jahr,22.55414135543481,-0.05164972251412627,-0.18856677621667484,0.09222268461748133,Jahr
lock+en jahr,3.9978022178684434,0.034893214166894955,0.08437038127611865,-0.05832279462974043,lock+en jahr
Millionen,5.373593776818506,0.039691692928342376,0.045186453505705895,-0.04693399890797157,Millionen
jahr million+en,4.009856257910991,0.034950735663724725,0.08394627517162512,-0.05820001129648098,jahr million+en
Deutsche,15.948158388104902,-0.08264875698266294,-0.18628485786734386,0.11093305234216781,Deutsche
million+en deutsch+e,4.04242626913815,0.03510429533077581,0.08280944970265397,-0.05787082148911656,million+en deutsch+e
besonders,5.117946255527638,0.037776511912867496,0.05717305019636065,-0.04997892590648338,besonders
deutsch+e besonders,4.104532301492871,0.035389785693985765,0.08067773440248234,-0.05725328604298249,deutsch+e besonders
daheim,4.241164173638127,0.035986044554538237,0.07614669938815441,-0.05593962991881158,daheim
besonders daheim,4.241164173638127,0.035986044554538237,0.07614669938815441,-0.05593962991881158,besonders daheim
kalt,4.317256082113202,0.0363004593997381,0.07371278682432245,-0.05523341454174784,kalt
daheim kalt,4.317256082113202,0.0363004593997381,0.07371278682432245,-0.05523341454174784,daheim kalt
Doch,22.021949801646254,-0.03142813401260425,-0.1269925110108075,0.062128378056780856,Doch
gleicht,4.716795998950754,0.037773310684749074,0.06186685111205594,-0.0517912889616626,gleicht
doch gleich+t,4.716795998950754,0.037773310684749074,0.06186685111205594,-0.0517912889616626,doch gleich+t
rauen,5.671239198037567,0.04040792488822741,0.038538347348808205,-0.04499612797860056,rauen
gleich+t rau+en,5.671239198037567,0.04040792488822741,0.038538347348808205,-0.04499612797860056,gleich+t rau+en
Vulkanlandschaften,18.03127075514312,0.04942582916219064,-0.07714195766578859,-0.011709091301073268,Vulkanlandschaften
rau+en vulkan+landschaft+en,7.7394814095617726,0.04383332061091641,0.0027392704448097427,-0.034568365493285645,rau+en vulkan+landschaft+en
grünen,4.082708675884314,0.035290540083154874,0.0814214979667484,-0.05746878393676423,grünen
vulkan+landschaft+en grün+en,4.082708675884314,0.035290540083154874,0.0814214979667484,-0.05746878393676423,vulkan+landschaft+en grün+en
Oasen,3.858508960022516,0.03420006812343712,0.0894086883553356,-0.05978037498861544,Oasen
grün+en oase+n,3.858508960022516,0.03420006812343712,0.0894086883553356,-0.05978037498861544,grün+en oase+n
pass…,3.553878563123409,0.032475865629975294,0.10140414536506218,-0.06324213962495516,pass…
welche pass…,3.553878563123409,0.032475865629975294,0.10140414536506218,-0.06324213962495516,welche pass…
